"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"100",NA,"Main_RecrDev_2000",1.37137,1.31724,1.31727,1.22149,1.22114,1.57407,1.23738,1.32305,1.26033,1.39311,NA,1.37137,1.37137,1.40753,1.38175
"101",NA,"Main_RecrDev_2001",0.0167271,0.00412177,0.125761,-5.58995e-05,0.0110529,0.244998,0.0360481,0.121796,0.0145146,0.11053,NA,0.0167271,0.0167271,0.0983511,0.00619466
"102",NA,"Main_RecrDev_2002",-0.497384,-0.517395,-0.354178,-0.463784,-0.445511,-0.247022,-0.434366,-0.357885,-0.436947,-0.431057,NA,-0.497384,-0.497384,-0.428679,-0.50544
"103",NA,"Main_RecrDev_2003",-0.427452,-0.446151,-0.347927,-0.438393,-0.417976,-0.323243,-0.410929,-0.355335,-0.414199,-0.359846,NA,-0.427452,-0.427452,-0.357774,-0.437405
"104",NA,"Main_RecrDev_2004",-0.0519194,-0.0683919,-0.0592206,-0.178151,-0.151679,-0.0982996,-0.137774,-0.0730165,-0.157823,-0.0269908,NA,-0.0519194,-0.0519194,-0.0259754,-0.0662745
"105",NA,"Main_RecrDev_2005",0.139026,0.134538,0.243717,0.0417275,0.0984531,0.228336,0.106503,0.225173,0.0803554,0.144387,NA,0.139026,0.139026,0.149907,0.123444
"106",NA,"Main_RecrDev_2006",0.995886,0.985385,0.968904,0.975751,1.02209,0.751352,0.973511,0.944975,1.00319,1.16072,NA,0.995886,0.995886,1.16989,0.974686
"107",NA,"Main_RecrDev_2007",0.469825,0.487063,1.24139,0.913724,0.986438,1.06287,1.02791,1.20425,0.936683,0.492933,NA,0.469825,0.469825,0.498199,0.453329
"108",NA,"Main_RecrDev_2008",-0.298079,-0.281314,-0.0522846,-0.168923,-0.10359,-0.218357,-0.121955,-0.0726601,-0.138222,-0.297277,NA,-0.298079,-0.298079,-0.290442,-0.316551
"109",NA,"Main_RecrDev_2009",-0.273447,-0.253085,-0.165766,-0.160789,-0.131219,-0.506314,-0.159604,-0.195672,-0.174509,-0.256954,NA,-0.273447,-0.273447,-0.242104,-0.287419
"110",NA,"Main_RecrDev_2010",0.17732,0.206524,0.248327,0.338904,0.330467,-0.221775,0.30744,0.209865,0.275523,0.251749,NA,0.17732,0.17732,0.265027,0.162374
"111",NA,"Main_RecrDev_2011",0.300333,0.343058,0.725103,0.776484,0.826507,0.163257,0.776451,0.675974,0.749652,0.351547,NA,0.300333,0.300333,0.371175,0.287688
"112",NA,"Main_RecrDev_2012",-0.230696,-0.193592,-0.0914175,-0.0358178,-0.0462914,-0.395319,-0.0538982,-0.116212,-0.0848898,-0.255675,NA,-0.230696,-0.230696,-0.231532,-0.235538
"113",NA,"Main_RecrDev_2013",-0.329067,-0.298357,-0.320332,-0.130498,-0.173542,-0.699844,-0.192541,-0.34548,-0.207014,-0.359434,NA,-0.329067,-0.329067,-0.341551,-0.332818
"114",NA,"Main_RecrDev_2014",-0.235935,-0.216113,-0.256752,-0.104412,-0.124933,-0.542146,-0.148337,-0.274793,-0.144866,-0.250683,NA,-0.235935,-0.235935,-0.231775,-0.237969
"115",NA,"Main_RecrDev_2015",-0.176612,-0.165498,-0.232831,-0.0958012,-0.130766,-0.402282,-0.137379,-0.244062,-0.139913,-0.190043,NA,-0.176612,-0.176612,-0.180391,-0.177861
"116",NA,"Main_RecrDev_2016",-0.0436627,-0.0375235,-0.0846668,-0.00888272,-0.0265202,-0.163244,-0.0281707,-0.0907141,-0.0318737,-0.0475295,NA,-0.0436627,-0.0436627,-0.045144,-0.0457988
"117",NA,"Main_RecrDev_2017",-0.0077166,-0.00195161,-0.0047035,0.00391486,0.00146327,-0.0262418,0.000685329,-0.00777683,-0.00409452,-0.00825376,NA,-0.0077166,-0.0077166,-0.00838264,-0.0112275
"118",NA,"Main_RecrDev_2018",-0.00628199,-0.000652764,0.00400276,0.00432836,0.00385679,-0.00953762,0.00199483,0.00148199,-0.00147856,-0.00571272,NA,-0.00628199,-0.00628199,-0.00622748,-0.00992702
"119",NA,"Main_RecrDev_2019",-0.00624834,-0.000625255,0.00439344,0.00433699,0.00401636,-0.00898415,0.00203561,0.00189717,-0.00130116,-0.0056481,NA,-0.00624834,-0.00624834,-0.00618184,-0.00989905
"120",NA,"Main_RecrDev_2020",-0.00624832,-0.000625228,0.00439553,0.00433699,0.0040192,-0.00897959,0.00203566,0.00189943,-0.00129811,-0.00564809,NA,-0.00624832,-0.00624832,-0.00618183,-0.00989904
"121",NA,"ForeRecr_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",NA,"ForeRecr_2022",0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0
"123",NA,"Impl_err_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
